model_name,layer_index,pc_index,alpha
eca_nfnet_l0_classification,134,178,429193.42601287784
eca_nfnet_l0_classification,134,179,429193.42601287784
eca_nfnet_l0_classification,134,180,202358.96477251555
eca_nfnet_l0_classification,134,181,429193.42601287784
eca_nfnet_l0_classification,134,182,429193.42601287784
eca_nfnet_l0_classification,134,183,429193.42601287784
eca_nfnet_l0_classification,134,184,429193.42601287784
eca_nfnet_l0_classification,134,185,429193.42601287784
eca_nfnet_l0_classification,134,186,202358.96477251555
eca_nfnet_l0_classification,134,187,429193.42601287784
eca_nfnet_l0_classification,134,188,429193.42601287784
eca_nfnet_l0_classification,134,189,429193.42601287784
eca_nfnet_l0_classification,134,190,429193.42601287784
eca_nfnet_l0_classification,134,191,429193.42601287784
